TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612766,Charlotte Hornets,32,18,14,0.563,135.91666666666666,82,195,0.421,18,50,0.36,84,113,0.743,32,82,114,52,39.0,27,18,10,75,1,266,4.0,2,3,16,10,5,6,4,7,4,5,8,7,7,15,15,6,6,3,23,2,1,13,19,2,4,14,1998-99
1610612741,Chicago Bulls,19,6,13,0.316,86.255,37,127,0.291,1,35,0.029,38,60,0.633,26,55,81,30,28.0,10,8,6,53,0,113,-46.0,29,28,13,25,24,28,25,29,29,16,29,29,28,28,21,19,22,20,12,27,20,3,5,10,28,27,1998-99
1610612739,Cleveland Cavaliers,23,12,11,0.522,67.75833333333334,29,98,0.296,2,20,0.1,51,71,0.718,17,40,57,19,20.0,13,7,11,46,0,111,-5.0,23,18,7,15,29,29,29,28,28,26,28,26,27,18,28,28,29,29,1,21,25,16,3,10,29,18,1998-99
1610612742,Dallas Mavericks,28,11,17,0.393,92.465,56,136,0.412,7,37,0.189,55,77,0.714,24,61,85,28,31.0,21,14,7,64,1,174,1.0,12,21,25,24,21,21,24,12,22,15,27,25,24,20,23,14,18,21,16,7,6,5,14,2,23,16,1998-99
1610612743,Denver Nuggets,25,10,15,0.4,74.42666666666666,40,120,0.333,12,42,0.286,61,79,0.772,33,41,74,21,24.0,5,9,8,59,0,153,-21.0,20,22,18,23,27,27,26,26,12,12,17,23,23,9,13,27,25,26,8,29,17,7,9,10,25,24,1998-99
1610612765,Detroit Pistons,29,16,13,0.552,108.99,83,179,0.464,19,54,0.352,78,100,0.78,33,57,90,58,34.0,23,8,11,85,1,263,41.0,10,9,13,12,13,4,11,2,3,4,10,10,16,7,13,16,16,2,19,4,20,16,25,2,7,3,1998-99
1610612744,Golden State Warriors,32,15,17,0.469,141.02,97,245,0.396,14,43,0.326,87,118,0.737,65,83,148,62,42.0,17,12,16,96,1,295,-5.0,2,10,25,20,3,1,1,16,9,11,12,6,6,16,1,4,1,1,26,14,11,27,28,2,2,18,1998-99
1610612745,Houston Rockets,23,15,8,0.652,70.135,44,117,0.376,12,34,0.353,42,58,0.724,26,39,65,28,23.0,11,6,13,37,1,142,13.0,23,10,1,2,28,24,28,20,12,18,9,28,29,17,21,29,28,21,6,26,27,20,1,2,27,9,1998-99
1610612754,Indiana Pacers,36,22,14,0.611,142.38666666666666,91,223,0.408,23,59,0.39,101,134,0.754,43,100,143,49,41.0,21,13,14,75,0,306,55.0,1,1,16,5,2,2,2,13,1,2,5,2,3,13,2,1,2,4,25,7,8,22,19,10,1,2,1998-99
1610612746,Los Angeles Clippers,22,6,16,0.273,100.04333333333334,59,162,0.364,10,47,0.213,69,87,0.793,38,53,91,21,33.0,13,12,14,86,1,197,-22.0,25,28,23,28,16,19,15,23,17,7,23,19,20,5,5,22,15,26,17,21,11,22,26,2,18,25,1998-99
1610612747,Los Angeles Lakers,30,18,12,0.6,91.32666666666667,72,158,0.456,17,49,0.347,78,111,0.703,36,57,93,38,20.0,9,11,6,75,0,239,28.0,8,3,10,7,22,9,16,3,5,6,11,10,8,21,9,16,13,13,1,28,15,3,19,10,11,4,1998-99
1610612748,Miami Heat,28,18,10,0.643,89.29666666666667,44,118,0.373,12,29,0.414,66,81,0.815,14,53,67,27,23.0,12,16,8,45,0,166,3.0,12,3,4,3,23,24,27,21,12,21,3,21,22,3,29,22,27,23,6,23,2,7,2,10,24,15,1998-99
1610612749,Milwaukee Bucks,32,17,15,0.531,118.75333333333333,71,177,0.401,13,40,0.325,82,97,0.845,27,78,105,42,24.0,21,6,13,61,1,237,24.0,2,6,18,13,9,10,12,15,11,13,13,8,17,2,19,7,10,10,8,7,27,20,11,2,12,5,1998-99
1610612750,Minnesota Timberwolves,27,12,15,0.444,84.93333333333334,52,147,0.354,3,15,0.2,76,88,0.864,34,46,80,31,24.0,14,7,12,63,0,183,-10.0,15,18,18,21,25,23,19,25,27,29,26,12,19,1,12,26,24,18,8,19,25,18,13,10,20,21,1998-99
1610612751,New Jersey Nets,24,7,17,0.292,92.57833333333333,43,141,0.305,6,25,0.24,58,74,0.784,28,57,85,21,33.0,17,9,18,53,0,150,-48.0,21,26,25,27,20,26,21,27,24,24,20,24,25,6,18,16,18,26,17,14,17,28,5,10,26,28,1998-99
1610612752,New York Knicks,32,17,15,0.531,119.70833333333333,71,185,0.384,10,44,0.227,70,101,0.693,38,78,116,36,44.0,18,12,8,72,0,222,5.0,2,6,18,13,8,10,6,18,17,10,21,16,15,25,5,7,4,16,27,13,11,7,17,10,14,12,1998-99
1610612753,Orlando Magic,29,19,10,0.655,116.12333333333333,82,163,0.503,20,45,0.444,80,105,0.762,18,83,101,46,29.0,19,4,5,62,0,264,66.0,10,2,4,1,10,6,14,1,2,9,1,9,10,11,27,4,11,7,14,11,29,1,12,10,6,1,1998-99
1610612755,Philadelphia 76ers,30,15,15,0.5,127.54166666666667,83,191,0.435,8,28,0.286,91,130,0.7,40,69,109,40,49.0,28,16,15,93,0,265,-17.0,8,10,18,17,6,4,5,5,21,22,17,5,4,22,4,11,7,11,28,1,2,25,27,10,5,23,1998-99
1610612756,Phoenix Suns,31,15,16,0.484,94.65666666666667,65,155,0.419,12,38,0.316,69,90,0.767,23,50,73,44,22.0,24,8,8,60,2,211,9.0,6,10,23,19,19,15,17,8,12,14,14,19,18,10,25,24,26,9,3,3,20,7,10,1,16,10,1998-99
